2020-03-13_008_NISTplasma1,2020-03-13_012_NISTplasma1,2020-03-13_016_NISTplasma1,2020-03-13_022_HEART,2020-03-13_023_LIVER,2020-03-13_024_BRAIN,2020-03-13_025_MUSCLE,2020-03-13_026_HEART,2020-03-13_027_LIVER,2020-03-13_028_BRAIN,2020-03-13_029_MUSCLE,2020-03-13_030_HEART,2020-03-13_031_LIVER,2020-03-13_032_BRAIN,2020-03-13_033_MUSCLE
0,0,0,0,2469,3536,0,0,2373,3301,0,0,2479,3186,0
0,0,0,0,11028,10279,0,0,11834,5095,0,0,11748,10237,0
0,0,0,0,0,16713,0,0,2120,17554,0,0,2401,16575,0
0,0,0,0,0,14151,0,0,0,14903,0,0,0,15254,0
0,0,0,0,10910,0,0,0,10650,2714,0,0,11195,2545,0
12394,13808,13787,22181,299616,19553,3281,23231,296983,19995,3483,22071,296361,19647,3634
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53568,61609,64174,86676,70152,32321,73712,87791,69674,32339,77757,88872,68062,30672,75097
0,0,0,0,8353,0,0,0,8230,0,0,0,8919,0,3147
0,0,0,0,26781,0,0,0,25031,0,0,0,24196,0,0
0,0,0,0,36141,1269,0,0,37508,1427,0,0,34731,0,0
0,0,0,0,0,5016,0,0,0,4844,0,0,0,4852,0
0,0,0,0,0,20923,0,0,0,22934,0,0,0,20707,0
22949,22908,24021,30462,29395,27508,27607,30226,28984,27301,27963,29469,29579,27478,27780
0,0,0,0,0,5857,0,0,0,5901,0,0,0,5914,0
0,0,0,0,21910,1265,0,0,10383,3067,0,0,22602,4326,0
0,0,0,0,9207,4046,0,0,8895,3715,0,0,8595,3730,0
0,0,0,0,0,50031,0,0,0,48389,0,0,0,48346,0
0,0,0,0,0,41465,0,0,0,40779,0,0,0,40363,0
0,0,0,0,5571,18112,0,0,9742,17218,0,0,5303,16575,0
0,0,0,1126,9315,3575,0,0,9526,3891,0,1071,9283,3342,0
7998,9777,8701,7375,88582,38414,14235,6980,74095,2139,7968,6023,26466,37666,13728
0,0,0,0,3690,0,0,0,3864,0,0,0,3714,0,0
0,0,0,0,5927,0,0,0,5558,0,0,0,5273,0,0
0,0,0,0,4474,0,0,0,5628,0,0,0,6416,0,0
0,0,0,0,0,0,35667,0,0,0,33737,0,0,0,33143
0,0,0,0,3431,0,0,0,3304,0,0,0,3514,0,0
0,0,0,0,12987,0,0,0,12085,0,0,0,2647,0,0
0,0,0,0,5183,0,2333,0,34126,0,2190,0,32235,0,2216
0,0,0,0,6569,0,0,0,6869,0,0,0,6693,0,0
0,0,0,1897,8429,0,0,1530,8805,0,0,2071,2508,0,0
0,1109,0,0,4663,0,5719,0,4607,0,5968,0,4859,0,5403
224120,234381,233241,684691,576264,593900,454990,676349,577047,593705,450278,672679,574662,585479,459738
0,0,0,0,0,597434,0,0,0,593000,0,0,0,590577,0
0,0,0,0,1280,0,0,0,1626,0,0,0,1238,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1026,0,0,0,1371,0,0,0,1462,0,0,0
0,0,0,0,0,0,12276,0,0,0,12743,0,0,0,11961
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
