massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row324	323.0	175.0715	3.325	0.28746293811467716	-1.069290079688814
row325	324.0	337.1763	3.653	0.11939342054438873	-1.5705105262957832
row326	325.0	303.0747	3.401	0.46409218437293864	0.7348909374703744
row327	326.0	274.1191	3.659	0.5737662591867945	0.5643332000836712
row328	327.0	270.0023	5.631	0.7687143338409648	-0.29484135938650474
row329	328.0	105.0342	2.992	0.21973910919028142	1.234807579644089
row330	329.0	167.0751	2.839	0.6162146673058889	-0.5027631007972122
row331	330.0	1008.0308	5.634	0.5225569235612939	0.6416235032209932
row332	331.0	146.1178	6.099	0.010957485332224338	2.5914596909823677
row333	332.0	267.1242	3.404	0.9722825126890352	0.03483107625897624
row334	333.0	316.2124	3.539	0.11117327295644727	1.6068745597119984
row335	334.0	188.0707	3.954	0.7879498539942328	-0.26968184942003043
row336	335.0	229.119	6.108	0.5478126004130349	-0.6030520968180768
row337	336.0	714.2435	7.457	0.5289121729775954	-0.6318290366729667
row338	337.0	297.1814	2.829	0.04208828629291123	2.0585292100466077
row339	338.0	296.1862	3.286	0.058018330125925166	1.9171383880670072
row340	339.0	174.1489	3.068	0.07923551802783455	1.7728692825543135
row341	340.0	274.1437	0.405	0.862634147188166	-0.17345935049067684
row342	341.0	100.0766	2.428	0.2315896690684377	1.2034454131586005
row343	342.0	242.1583	4.699	0.17935123571397615	-1.3520450712244585
row344	343.0	294.1702	0.501	0.29361684070357014	1.055661652933036
row345	344.0	421.318	0.542	6.700782808402951e-06	-4.748924150083128
row346	345.0	372.2386	3.554	0.008192699545339063	2.6967721618934317
row347	346.0	509.2577	3.513	0.6819005078148093	0.4110468291244483
row348	347.0	316.2485	2.858	0.49801567071971864	0.6800463941523865
row349	348.0	636.3807	3.581	0.3850827983281506	0.8723196917199191
row350	349.0	339.2367	2.886	0.3596808077886602	0.9201204289552944
row351	350.0	464.1923	3.469	0.38863892417840584	0.8657868723878512
row352	351.0	383.0438	0.419	0.10442249277584197	1.638385546621404
row353	352.0	292.9603	5.648	0.07466993522282156	-1.8009238393196465
row354	353.0	292.9603	5.606	0.2936148782162746	1.0556659678551934
row355	354.0	474.3278	0.801	0.14620502518892936	1.464234959878669
row356	355.0	377.2634	0.542	2.663578170094721e-07	-5.513562914229701
row357	356.0	137.0461	2.046	0.16548833431102622	-1.3968570860880283
row358	357.0	456.9665	5.65	0.45668172702088783	0.7471669518214135
row359	358.0	492.3285	0.871	0.6055150726747176	0.5180934321471609
row360	359.0	250.9835	4.968	0.5988073584259168	0.5277669019471706
row361	360.0	229.155	5.481	0.6874871329763004	-0.40341533833559434
row362	361.0	260.1973	8.488	0.2403074763782216	-1.181105516242559
