index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
24091,26490,6.176,1548.13062,w/o MS2:RIKEN P-VS1 ID-20609 from Mouse_SmallIntestine_fads2KO_N_Ctr,[M+H]+,FALSE,9.2,1548.13708,530,TRUE,TRUE,FALSE,81.1,99.9,,,,52530,0,0,0,0,38768,0,0,0,0,0,0,0,0,0,1.8001746684872400
19775,12950,6.969,618.52118,w/o MS2:Cer 12:2;2O/30:6,[M+H]+,FALSE,9.88,618.52448,530,TRUE,TRUE,FALSE,94.7,100.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8003453975274300
18722,27249,5.401,1646.13306,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,36344,0,0,0,0,23256,0,0,0,70060,18080,0,1.800441099458200
7488,5527,1.744,341.30487,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,72407,50186,424266,0,0,72698,0,419409,0,0,72960,45532,395606,0,0,1.8005497064507900
21607,9599,0.897,486.29681,w/o MS2:LPE O-20:5,[M+Na]+,FALSE,5.95,486.29791,530,TRUE,TRUE,FALSE,99.4,99.9,,,,0,0,10576,29013,0,0,0,0,38818,0,0,0,0,34518,0,1.8006675322627200
27296,1249,0.417,182.08183,w/o MS2:Tyrosine,[M+Na]+,TRUE,1.05,182.08118,530,TRUE,TRUE,FALSE,99.9,100.0,,,,0,0,44451,0,0,0,0,39628,0,0,15716,0,33584,0,0,1.8007018344134400
22502,11547,2.816,560.37018,w/o MS2:PE O-8:0_16:3,[M+Na]+,FALSE,6.94,560.37109,530,TRUE,TRUE,FALSE,99.6,99.9,,,,0,0,157222,0,3005,0,0,180008,0,0,0,0,174343,0,0,1.8007153857336900
319,12093,5.959,582.50916,DG 32:2|DG 14:0_18:2,[M+NH4]+,TRUE,9.73,582.50922,410,TRUE,TRUE,TRUE,100.0,99.9,65.0,84.1,100.0,0,120171,299329,0,49919,0,160776,246990,0,0,0,145468,304471,0,0,1.8007193405117200
21780,18752,0.455,821.77289,w/o MS2:NAGly 21:0;O(FA 28:1),[M+H]+,FALSE,13.61,821.77051,530,TRUE,TRUE,FALSE,97.2,99.1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.800724857254640
3682,1404,5.859,187.06149,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,647230,0,0,0,0,0,566677,717604,791890,0,707608,0,725470,733525,0,1.8007543939518300
13318,14551,3.971,685.18683,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,119167,0,0,0,0,0,0,0,1.8008470831800900
33,18065,5.773,803.63489,1_PC 17:0-20:3-d5_ISTD_[M+H]+,[M+Na]+,TRUE,5.81,803.62726,annotated by user-defined text library,TRUE,TRUE,FALSE,92.6,95.8,,,,35722880,41777192,40056320,40938856,30355426,36924340,44863364,42152932,36655724,30751916,36586192,41189952,41700800,36335408,29505774,1.8010605364356900
10017,8816,3.44,457.18463,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,20512,53955,94609,0,39300,27001,53263,114563,0,44963,31597,53359,113144,0,43825,1.801124337093060
3414,1126,10.938,175.14845,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,49677,0,541453,0,0,0,0,604956,0,0,0,0,615306,1.8011737674393900
261,14390,9.199,678.67841,Cer 44:1;2O|Cer 20:1;2O/24:0,[M+H]+,TRUE,13.5,678.6759,410,TRUE,TRUE,TRUE,100.0,99.9,78.0,88.9,100.0,13706,0,1415623,0,17247,38664,0,1433180,0,21793,42977,0,1444794,0,17101,1.8011810650916200
26647,23159,7.837,982.78143,w/o MS2:TG 8:0_15:2_38:10,[M+H]+,FALSE,13.91,982.78583,530,TRUE,TRUE,FALSE,90.8,99.8,,,,0,6441,26093,0,0,0,9105,21362,0,0,0,10334,21832,0,0,1.8012334300819800
82,8425,2.058,440.375,CAR 19:1,[M+H]+,TRUE,6.56,440.37341,410,TRUE,TRUE,TRUE,100.0,99.9,21.7,53.4,100.0,0,188063,38514,0,0,0,185773,35549,0,0,0,183358,38162,0,0,1.8012978670904000
5442,3220,0.471,251.2122,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,52105,80407,24762,32144,0,51078,0,29155,27998,0,47771,88103,26711,1.801401492250540
24154,26743,6.247,1578.14355,w/o MS2:RIKEN P-VS1 ID-20875 from Mouse_Eye_fads2KO_N_Ctr,[M+Na]+,FALSE,9.96,1578.13647,530,TRUE,TRUE,FALSE,77.8,99.9,,,,0,0,807045,0,0,0,0,828580,0,0,0,0,986219,0,0,1.8014083909689100
12049,12027,3.263,579.42883,Unknown,[M+2H]2+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,57515,0,0,0,0,53100,0,0,0,0,56021,1.8014444825502400
