Name,SpectrumId,ClusterId,SubmissionId
"Heptane, 2,4-dimethyl-",370171,1265202,140
Unknown,376057,1271046,147
Unknown,369705,1264785,139
Unknown,375840,1270829,147
Unknown,378119,1273105,151
Unknown,369643,1264723,139
Unknown,377174,1272160,149
Unknown,377604,1272590,150
Unknown,377118,1272104,149
Unknown,370159,1265193,140
Unknown,375851,1270840,147
"Oxalic acid, isohexyl neopentyl ester",370135,1265174,140
Unknown,370697,1265691,140
Unknown,369825,1264905,139
Unknown,376559,1271545,148
Unknown,377553,1272539,150
Unknown,378587,1273573,153
Unknown,371580,1266570,140
Unknown,369776,1264856,139
Unknown,370323,1265330,140
Unknown,376207,1271196,147
"Oxalic acid, isohexyl neopentyl ester",370298,1265307,140
Unknown,375805,1270794,147
Unknown,371378,1266368,140
Unknown,369875,1264955,139
"N-.alpha.-Acetyl-L-Lysine, 3TMS derivative",377246,1272232,150
Unknown,376231,1271220,147
Unknown,376352,1271341,147
Unknown,376017,1271006,147
1-Octylsilatrane,377712,1272698,151
"2-Hydroxybutyric acid, 2TMS derivative",370173,1265203,140
Unknown,376328,1271317,147
Unknown,369328,1264409,138
Unknown,377699,1272685,151
Unknown,376256,1271245,147
Unknown,369457,1264537,139
"Oxalic acid, isobutyl nonyl ester",367184,1262267,133
Unknown,378542,1273528,153
Unknown,377226,1272212,150
Unknown,376775,1271761,149
Unknown,377674,1272660,151
Unknown,378181,1273167,152
Unknown,371417,1266407,140
Unknown,371483,1266473,140
Unknown,370920,1265911,140
