Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
10646941,10264784,12164541,13386659,13972302,12419848,22992683,26910871,25243189,3610840,3977193,3614993,5269869,1981290,5424676
884881,893613,1026296,19226549,20131664,18563428,31006767,37036580,38299844,3287248,3360220,3650363,5439705,1677492,5848227
0,0,0,209673,217901,130346,574246,805975,680505,507449,485989,512603,607686,192307,673084
0,0,0,277222,344542,339920,1282657,1636364,1296217,48560,50020,61792,160038,23938,194893
0,0,0,0,0,0,0,0,0,0,0,0,52297,3054,26714
109239,100535,157318,1308620,1327551,1252334,1433862,1610914,1630812,11938,7745,13062,37569,0,37472
13428,0,6550,841157,865729,784304,749498,875206,872743,20342,25871,32046,58559,5844,53717
9886,0,0,301988,327512,296565,838978,984933,1037755,1781,2934,0,5461,0,3219
8809114,9909418,11301534,7923114,8993871,9329273,11164644,14620483,13238759,460393,506810,493957,724642,242846,759816
2494883,2517588,2809843,9350537,10876648,9626180,6234214,10778091,9252413,2499685,2650043,2605527,3897618,1409839,4168218
1516767,1513863,1611394,16000808,16993306,15288858,47190172,59248162,55359412,953829,1155152,1222308,1384309,446030,1255071
558557,469989,536342,5454195,5684793,4774329,5721195,6733889,6619814,2610428,2630054,2661640,6600305,1937233,7083228
533350,548246,546894,4687421,5093054,4584896,8581629,11196755,10395368,430692,356781,391651,787873,236387,953620
0,11854,9579,1991908,2079877,2151680,2446357,2630080,2502681,521996,526357,539505,2041602,648116,2307587
2548848,2185084,2580466,1584445,1691907,1602084,2942302,3602602,3635164,278833,300915,309742,508854,135862,479370
0,0,0,0,0,0,0,0,0,0,0,0,130126,22634,108150
0,0,0,0,0,8138,0,0,0,0,0,0,44935,0,27076
0,0,0,0,0,10315,56811,65574,48388,0,0,0,124618,16220,126799
0,0,0,8222,15093,14028,407400,540791,501651,0,0,0,0,0,0
183851,153016,204336,7567,31330,15106,288379,392512,363718,0,0,0,0,0,0
531377,594796,578847,518572,569063,557800,553571,614542,548585,650891,592453,662574,14107334,2153629,11590686
167149,179640,204884,46803,35200,37630,45943,66814,47970,0,4376,3570,5512,0,4168
189956,141686,226648,183867,198544,191881,963325,1039541,1077402,0,10672,14458,2481,0,4627
1772864,1824726,2070490,1912879,2106213,1985215,30329422,38434426,37091836,364328,398813,429868,16477,0,8641
2211236,2337989,2573674,104450,109173,81515,588469,763358,659384,62669,42450,67336,0,0,3597
481311,462023,458203,385598,416165,407033,3542947,4155229,4203725,12252,9596,16941,45408,8262,28245
32185304,31542582,35984602,6580875,7030035,6166851,24712792,30103550,27828190,3668374,4032295,3770568,833204,770970,2171972
2608979,2404015,2617498,686145,782839,655631,2953595,3585329,3349789,188332,182237,189446,1120625,322650,1068038
6321,7149,0,120288,213098,123365,590640,754802,691141,15691,4294,13042,786130,204347,835073
0,0,0,0,0,0,0,0,0,0,0,0,106092,20593,91884
0,0,3825,0,0,0,0,0,0,316732,430751,423165,0,0,6149
0,0,0,0,0,0,0,0,0,848371,1052293,1074196,0,0,0
2457526,2645913,2867676,601825,601772,571308,8083917,9374103,8491611,71292,73874,101472,0,0,0
232167,230538,288122,375507,424970,344039,7106662,8719661,8288990,3839,0,7918,0,0,0
105063,127098,61565,4207,0,3821,710951,801226,777251,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,128622,22140,112489
0,0,0,0,4241,0,0,0,0,1957265,2327034,2445221,0,0,0
0,0,0,0,0,0,0,0,0,1314350,1450994,1470113,0,0,0
773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790460,797004,871375,539234,584669,561220,539406,558122,581840,2028465,2010722,2096753,599645,545268,565539
46753998,47670638,46432864,46532872,46351623,46129339,47840292,48755687,44436214,49243378,46496933,46540377,55350952,49417804,55775424
