massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row419	418.0	383.0417	0.629	0.7745750235107716	0.28715652058068675
row420	419.0	404.163	3.134	0.38508279832815084	0.8723196917199187
row421	420.0	283.1649	2.972	0.035216296114027	2.134279981063524
row422	421.0	574.0696	3.505	0.023365010999698826	2.302040830412293
row423	422.0	401.1276	5.744	0.14137150054715908	-1.4821945941002994
row424	423.0	282.9906	1.564	0.8980913914052873	0.12839222839618755
row425	424.0	235.0388	3.758	0.15480459598754018	-1.4333900589364674
row426	425.0	188.0567	5.988	3.273921333295427e-05	-4.346903171554472
row427	426.0	395.1466	3.099	0.9458730344942602	0.06805757789585948
row428	427.0	230.9962	0.402	0.01598103503042218	2.450179014811245
row429	428.0	232.9756	2.113	0.011211284201224242	2.5830407505007096
row430	429.0	406.9908	7.203	0.21984840739339087	1.2345127808807497
row431	430.0	323.0176	1.913	0.40325223662325793	-0.8393206762298007
row432	431.0	346.0906	2.947	0.7078653316706766	0.3757739537127897
row433	432.0	289.0012	1.83	0.5686795088511136	0.5718532501095882
row434	433.0	655.0454	0.442	0.14337241930336264	-1.474702807879151
row435	434.0	242.043	4.726	0.05872366795107107	1.9116800802747564
row436	435.0	188.9864	0.516	0.7832506427245816	0.2758117885309326
row437	436.0	369.1533	2.405	0.37428784448811636	-0.8923835584057865
row438	437.0	188.0929	4.263	0.21055350243171703	1.2599750643196215
row439	438.0	511.216	3.044	0.39802170619363764	0.8487251467862348
row440	439.0	326.1597	3.114	0.9735992747414899	0.03317574371444872
row441	440.0	243.0174	3.471	0.03682950450889538	-2.115420196769077
row442	441.0	239.0768	6.202	0.7916046660040351	0.2649213597958823
row443	442.0	439.1583	3.256	0.01147865347903418	2.5743554260310524
row444	443.0	295.1285	3.004	0.07789822519728018	1.7809451866160924
row445	444.0	194.0492	1.439	0.010917915202566943	2.5927881107530935
row446	445.0	271.1551	3.095	0.24363890102383848	1.1727218280438139
row447	446.0	325.1827	1.685	0.4575665025158072	-0.7456953281007208
row448	447.0	730.1687	6.743	0.25091919114285177	-1.1546808178811603
row449	448.0	437.1791	3.017	0.11282356557898394	1.5994057147902987
row450	449.0	421.0425	3.471	0.16019329123919082	1.414729744459522
row451	450.0	345.0831	1.74	0.2042009450018213	1.2778555043323103
row452	451.0	124.9926	2.703	0.9315237285346463	0.08614033283032164
row453	452.0	160.0622	4.273	0.7868817175033049	-0.271074286052495
row454	453.0	175.0251	7.0	0.0059698315867811125	2.8082586453724754
